iter	Passed	Remaining
505	588	574
506	589	573
507	590	571
508	591	570
509	592	569
510	593	568
511	594	567
512	596	565
513	597	564
514	598	563
515	599	562
516	600	561
517	601	560
518	603	558
519	604	557
520	605	556
521	606	555
522	607	553
523	608	552
524	609	551
525	611	550
526	612	549
527	613	548
528	614	547
529	615	546
530	616	544
531	617	543
532	618	542
533	620	541
534	621	539
535	622	538
536	623	537
537	624	536
538	625	535
539	626	534
540	628	532
541	629	531
542	630	530
543	631	529
544	632	528
545	633	526
546	634	525
547	636	524
548	637	523
549	638	522
550	639	521
551	640	520
552	641	518
553	643	517
554	644	516
555	645	515
556	646	513
557	647	512
558	648	511
559	649	510
560	651	509
561	652	508
562	653	507
563	655	506
564	656	505
565	657	504
566	658	502
567	659	501
568	660	500
569	661	499
570	662	498
571	664	496
572	665	495
573	666	494
574	667	493
575	668	492
576	670	491
577	671	490
578	672	488
579	673	487
580	674	486
581	675	485
582	676	484
583	678	482
584	679	481
585	680	480
586	681	479
587	682	477
588	683	476
589	684	475
590	685	474
591	686	473
592	688	472
593	689	471
594	690	470
595	691	469
596	693	468
597	694	466
598	695	465
599	696	464
600	698	463
601	699	462
602	700	461
603	701	459
604	702	458
605	703	457
606	704	456
607	706	455
608	707	453
609	708	452
610	709	451
611	710	450
612	712	449
613	713	448
614	714	447
615	715	446
616	716	444
617	717	443
618	718	442
619	719	441
620	721	440
621	722	438
622	723	437
623	724	436
624	725	435
625	726	433
626	727	432
627	728	431
628	729	430
629	730	429
630	732	428
631	733	427
632	734	425
633	735	424
634	736	423
635	737	422
636	738	421
637	739	419
638	741	418
639	742	417
640	743	416
641	744	415
642	745	414
643	747	412
644	748	411
645	749	410
646	750	409
647	751	408
648	752	407
649	753	405
650	754	404
651	756	403
652	757	402
653	758	401
654	759	400
655	760	398
656	761	397
657	762	396
658	764	395
659	765	394
660	766	393
661	767	391
662	768	390
663	769	389
664	770	388
665	772	387
666	773	386
667	774	384
668	775	383
669	776	382
670	777	381
671	778	380
672	779	378
673	780	377
674	781	376
675	783	375
676	784	374
677	785	372
678	786	371
679	787	370
680	789	369
681	790	368
682	791	367
683	792	366
684	793	364
685	794	363
686	795	362
687	796	361
688	798	360
689	799	358
690	800	357
691	801	356
692	802	355
693	803	354
694	804	353
695	805	351
696	806	350
697	807	349
698	809	348
699	810	347
700	811	346
701	812	344
702	813	343
703	815	342
704	816	341
705	817	340
706	818	339
707	819	338
708	820	336
709	821	335
710	823	334
711	824	333
712	825	332
713	826	330
714	827	329
715	828	328
716	830	327
717	831	326
718	832	325
719	833	324
720	834	323
721	835	321
722	836	320
723	838	319
724	839	318
725	840	317
726	841	315
727	842	314
728	843	313
729	845	312
730	846	311
731	847	310
732	848	308
733	849	307
734	850	306
735	851	305
736	852	304
737	853	303
738	854	301
739	855	300
740	857	299
741	858	298
742	859	297
743	860	296
744	861	294
745	862	293
746	863	292
747	864	291
748	865	290
749	866	288
750	868	287
751	869	286
752	870	285
753	871	284
754	872	283
755	873	281
756	874	280
757	875	279
758	877	278
759	878	277
760	879	276
761	880	275
762	881	273
763	882	272
764	883	271
765	884	270
766	886	269
767	887	268
768	888	266
769	889	265
770	890	264
771	891	263
772	892	262
773	893	260
774	894	259
775	895	258
776	896	257
777	897	256
778	899	255
779	901	254
780	902	252
781	903	251
782	904	250
783	905	249
784	906	248
785	907	247
786	908	245
787	909	244
788	910	243
789	911	242
790	912	241
791	913	240
792	915	238
793	916	237
794	917	236
795	918	235
796	919	234
797	920	232
798	921	231
799	922	230
800	923	229
801	924	228
802	925	227
803	926	225
804	927	224
805	928	223
806	930	222
807	931	221
808	932	220
809	933	219
810	934	217
811	935	216
812	936	215
813	937	214
814	938	213
815	939	211
816	941	210
817	942	209
818	943	208
819	944	207
820	945	206
821	946	204
822	947	203
823	948	202
824	949	201
825	950	200
826	952	199
827	953	198
828	954	196
829	955	195
830	956	194
831	957	193
832	958	192
833	959	191
834	960	189
835	962	188
836	963	187
837	964	186
838	965	185
839	967	184
840	968	183
841	969	181
842	970	180
843	971	179
844	972	178
845	973	177
846	974	176
847	975	174
848	977	173
849	978	172
850	979	171
851	980	170
852	981	169
853	982	167
854	983	166
855	984	165
856	985	164
857	986	163
858	988	162
859	989	161
860	990	159
861	991	158
862	992	157
863	993	156
864	994	155
865	995	154
866	996	152
867	997	151
868	998	150
869	999	149
870	1000	148
871	1001	147
872	1003	145
873	1004	144
874	1005	143
875	1007	142
876	1008	141
877	1009	140
878	1010	139
879	1012	138
880	1013	136
881	1014	135
882	1015	134
883	1016	133
884	1018	132
885	1019	131
886	1020	129
887	1021	128
888	1022	127
889	1023	126
890	1024	125
891	1025	124
892	1027	123
893	1028	121
894	1029	120
895	1030	119
896	1032	118
897	1033	117
898	1034	116
899	1035	115
900	1036	113
901	1037	112
902	1038	111
903	1040	110
904	1041	109
905	1042	108
906	1043	107
907	1045	105
908	1046	104
909	1047	103
910	1048	102
911	1049	101
912	1050	100
913	1051	98
914	1052	97
915	1053	96
916	1054	95
917	1055	94
918	1056	93
919	1057	91
920	1058	90
921	1059	89
922	1060	88
923	1061	87
924	1062	86
925	1064	85
926	1065	83
927	1066	82
928	1067	81
929	1068	80
930	1069	79
931	1071	78
932	1072	76
933	1073	75
934	1074	74
935	1075	73
936	1077	72
937	1078	71
938	1079	70
939	1080	68
940	1081	67
941	1082	66
942	1083	65
943	1084	64
944	1085	63
945	1086	62
946	1088	60
947	1089	59
948	1090	58
949	1091	57
950	1093	56
951	1094	55
952	1095	54
953	1096	52
954	1097	51
955	1098	50
956	1100	49
957	1101	48
958	1102	47
959	1103	45
960	1105	44
961	1106	43
962	1107	42
963	1108	41
964	1109	40
965	1110	39
966	1112	37
967	1113	36
968	1114	35
969	1115	34
970	1116	33
971	1117	32
972	1119	31
973	1120	29
974	1121	28
975	1122	27
976	1123	26
977	1124	25
978	1125	24
979	1127	23
980	1128	21
981	1129	20
982	1130	19
983	1131	18
984	1132	17
985	1134	16
986	1135	14
987	1136	13
988	1137	12
